f0_,station,f1_,f2_
2020-01-06,BBCNEWS,4,Facemask
2020-01-24,BBCNEWS,24,Facemask
2020-01-24,CNN,18,Facemask
2020-01-25,BBCNEWS,1,Facemask
2020-01-31,KNTV,1,Facemask
2020-02-01,KNTV,1,Facemask
2020-02-01,CNN,26,Facemask
2020-02-02,CNN,66,Facemask
2020-02-02,BBCNEWS,20,Facemask
2020-02-06,FOXNEWS,2,Facemask
2020-02-08,CNN,307,Facemask
2020-02-10,CNN,137,Facemask
2020-02-11,KNTV,1,Facemask
2020-02-14,KGO,2,Facemask
2020-02-15,FOXNEWS,19,Facemask
2020-02-20,BBCNEWS,21,Facemask
2020-02-21,BBCNEWS,30,Facemask
2020-02-26,FOXNEWS,27,Facemask
2020-02-26,BBCNEWS,11,Facemask
2020-02-27,FOXNEWS,70,Facemask
2020-02-27,CNN,15,Facemask
2020-02-27,BBCNEWS,13,Facemask
2020-02-28,FOXNEWS,7,Facemask
2020-02-28,CNN,38,Facemask
2020-02-29,FOXNEWS,14,Facemask
2020-02-29,KNTV,111,Facemask
2020-02-29,MSNBC,10,Facemask
2020-02-29,CNN,9,Facemask
2020-03-01,MSNBC,63,Facemask
2020-03-01,FOXNEWS,67,Facemask
2020-03-01,CNN,19,Facemask
2020-03-01,KNTV,3,Facemask
2020-03-02,FOXNEWS,15,Facemask
2020-03-02,MSNBC,10,Facemask
2020-03-02,CNN,359,Facemask
2020-03-03,BBCNEWS,94,Facemask
2020-03-05,BBCNEWS,33,Facemask
2020-03-06,MSNBC,8,Facemask
2020-03-06,KNTV,5,Facemask
2020-03-06,KPIX,5,Facemask
2020-03-06,CNN,54,Facemask
2020-03-06,FOXNEWS,33,Facemask
2020-03-07,CNN,50,Facemask
2020-03-08,KPIX,5,Facemask
2020-03-08,KNTV,2,Facemask
2020-03-08,CNN,50,Facemask
2020-03-08,FOXNEWS,20,Facemask
2020-03-09,BBCNEWS,98,Facemask
2020-03-09,FOXNEWS,22,Facemask
2020-03-10,CNN,54,Facemask
2020-03-10,MSNBC,39,Facemask
2020-03-10,BBCNEWS,18,Facemask
2020-03-11,CNN,13,Facemask
2020-03-12,BBCNEWS,99,Facemask
2020-03-12,KPIX,6,Facemask
2020-03-13,CNN,2,Facemask
2020-03-13,BBCNEWS,12,Facemask
2020-03-13,MSNBC,25,Facemask
2020-03-14,CNN,31,Facemask
2020-03-14,FOXNEWS,198,Facemask
2020-03-14,BBCNEWS,13,Facemask
2020-03-15,CNN,3,Facemask
2020-03-15,FOXNEWS,128,Facemask
2020-03-15,KPIX,4,Facemask
2020-03-16,BBCNEWS,4,Facemask
2020-03-17,CNN,7,Facemask
2020-03-17,FOXNEWS,2,Facemask
2020-03-18,MSNBC,79,Facemask
2020-03-18,FOXNEWS,16,Facemask
2020-03-19,MSNBC,175,Facemask
2020-03-19,FOXNEWS,7,Facemask
2020-03-20,KNTV,1,Facemask
2020-03-20,BBCNEWS,4,Facemask
2020-03-20,MSNBC,957,Facemask
2020-03-20,CNN,55,Facemask
2020-03-21,FOXNEWS,61,Facemask
