f0_,station,f1_,f2_
2019-12-02,KGO,46,vaccine
2019-12-03,KGO,4,vaccine
2019-12-03,KPIX,40,vaccine
2019-12-03,KNTV,5,vaccine
2019-12-04,KGO,13,vaccine
2019-12-04,KPIX,46,vaccine
2019-12-05,KPIX,45,vaccine
2019-12-05,KGO,13,vaccine
2019-12-07,KPIX,41,vaccine
2019-12-09,KGO,54,vaccine
2019-12-10,KGO,9,vaccine
2019-12-10,KPIX,4,vaccine
2019-12-11,KPIX,46,vaccine
2019-12-12,KPIX,47,vaccine
2019-12-12,KGO,33,vaccine
2019-12-13,KGO,8,vaccine
2019-12-13,KPIX,4,vaccine
2019-12-14,KPIX,4,vaccine
2019-12-16,KGO,37,vaccine
2019-12-19,KGO,8,vaccine
2019-12-20,KGO,9,vaccine
2019-12-30,KGO,12,vaccine
2019-12-31,KNTV,11,vaccine
2019-12-31,KPIX,4,vaccine
2019-12-31,BBCNEWS,10,vaccine
2019-12-31,CNN,2,vaccine
2019-12-31,FOXNEWS,70,vaccine
2019-12-31,MSNBC,2,vaccine
2020-01-01,KGO,2,vaccine
2020-01-03,KGO,5,vaccine
2020-01-03,KPIX,4,vaccine
2020-01-04,FOXNEWS,4,vaccine
2020-01-04,KPIX,3,vaccine
2020-01-05,FOXNEWS,2,vaccine
2020-01-06,KPIX,3,vaccine
2020-01-07,KNTV,4,vaccine
2020-01-07,KGO,4,vaccine
2020-01-09,FOXNEWS,1,vaccine
2020-01-09,KGO,3,vaccine
2020-01-09,KPIX,5,vaccine
2020-01-11,KPIX,4,vaccine
2020-01-13,BBCNEWS,20,vaccine
2020-01-15,KPIX,93,vaccine
2020-01-16,FOXNEWS,2,vaccine
2020-01-16,KGO,4,vaccine
2020-01-17,FOXNEWS,4,vaccine
2020-01-18,FOXNEWS,3,vaccine
2020-01-18,KPIX,4,vaccine
2020-01-19,BBCNEWS,2,vaccine
2020-01-21,CNN,29,vaccine
2020-01-21,KGO,4,vaccine
2020-01-23,KPIX,5,vaccine
2020-01-23,BBCNEWS,14,vaccine
2020-01-24,FOXNEWS,21,vaccine
2020-01-24,BBCNEWS,57,vaccine
2020-01-24,KNTV,5,vaccine
2020-01-24,KPIX,33,vaccine
2020-01-24,MSNBC,6,vaccine
2020-01-25,BBCNEWS,63,vaccine
2020-01-25,KNTV,4,vaccine
2020-01-26,BBCNEWS,28,vaccine
2020-01-26,CNN,11,vaccine
2020-01-27,FOXNEWS,88,vaccine
2020-01-28,KPIX,4,vaccine
2020-01-28,KGO,4,vaccine
2020-01-28,FOXNEWS,1,vaccine
2020-01-29,KPIX,15,vaccine
2020-01-29,FOXNEWS,86,vaccine
2020-01-30,MSNBC,19,vaccine
2020-01-30,FOXNEWS,285,vaccine
2020-01-30,BBCNEWS,136,vaccine
2020-01-31,BBCNEWS,198,vaccine
2020-02-01,FOXNEWS,106,vaccine
2020-02-01,KNTV,4,vaccine
2020-02-01,CNN,32,vaccine
2020-02-01,BBCNEWS,33,vaccine
2020-02-02,BBCNEWS,69,vaccine
2020-02-03,BBCNEWS,3399,vaccine
2020-02-04,BBCNEWS,1025,vaccine
2020-02-04,KNTV,3,vaccine
2020-02-04,KPIX,4,vaccine
2020-02-05,BBCNEWS,16,vaccine
2020-02-06,KGO,4,vaccine
2020-02-06,FOXNEWS,42,vaccine
2020-02-07,MSNBC,137,vaccine
2020-02-07,FOXNEWS,130,vaccine
2020-02-08,MSNBC,40,vaccine
2020-02-08,CNN,357,vaccine
2020-02-08,FOXNEWS,268,vaccine
2020-02-09,FOXNEWS,6,vaccine
2020-02-10,FOXNEWS,13,vaccine
2020-02-11,BBCNEWS,303,vaccine
