f0_,station,f1_,f2_
2020-02-11,FOXNEWS,17,covid
2020-02-11,BBCNEWS,5288,covid
2020-02-11,KGO,7,covid
2020-02-12,MSNBC,167,covid
2020-02-12,KGO,11,covid
2020-02-12,BBCNEWS,497,covid
2020-02-12,FOXNEWS,103,covid
2020-02-13,FOXNEWS,13,covid
2020-02-13,KGO,5,covid
2020-02-13,BBCNEWS,219,covid
2020-02-14,FOXNEWS,9,covid
2020-02-14,KGO,16,covid
2020-02-15,FOXNEWS,265,covid
2020-02-15,MSNBC,165,covid
2020-02-15,BBCNEWS,47,covid
2020-02-16,KGO,29,covid
2020-02-16,BBCNEWS,376,covid
2020-02-16,KNTV,7,covid
2020-02-16,FOXNEWS,279,covid
2020-02-17,BBCNEWS,43,covid
2020-02-17,KGO,11,covid
2020-02-17,MSNBC,8,covid
2020-02-17,KNTV,5,covid
2020-02-17,FOXNEWS,44,covid
2020-02-18,KGO,25,covid
2020-02-18,BBCNEWS,329,covid
2020-02-18,FOXNEWS,2,covid
2020-02-19,KGO,3,covid
2020-02-19,FOXNEWS,168,covid
2020-02-19,BBCNEWS,318,covid
2020-02-20,FOXNEWS,15,covid
2020-02-20,KGO,11,covid
2020-02-20,BBCNEWS,298,covid
2020-02-21,BBCNEWS,28,covid
2020-02-22,KPIX,6,covid
2020-02-22,BBCNEWS,84,covid
2020-02-23,BBCNEWS,259,covid
2020-02-23,KGO,15,covid
2020-02-24,CNN,6,covid
2020-02-24,BBCNEWS,403,covid
2020-02-24,FOXNEWS,10,covid
2020-02-24,KGO,17,covid
2020-02-25,BBCNEWS,708,covid
2020-02-25,KGO,20,covid
2020-02-25,MSNBC,44,covid
2020-02-26,MSNBC,75,covid
2020-02-26,CNN,37,covid
2020-02-26,KGO,26,covid
2020-02-26,BBCNEWS,96,covid
2020-02-26,FOXNEWS,18,covid
2020-02-27,KGO,12,covid
2020-02-27,MSNBC,137,covid
2020-02-27,BBCNEWS,431,covid
2020-02-27,CNN,68,covid
2020-02-27,FOXNEWS,130,covid
2020-02-28,BBCNEWS,169,covid
2020-02-28,FOXNEWS,49,covid
2020-02-28,CNN,52,covid
2020-02-28,MSNBC,323,covid
2020-02-29,BBCNEWS,167,covid
2020-02-29,CNN,148,covid
2020-02-29,MSNBC,561,covid
2020-02-29,FOXNEWS,396,covid
2020-03-01,KGO,15,covid
2020-03-01,MSNBC,96,covid
2020-03-01,CNN,52,covid
2020-03-01,BBCNEWS,150,covid
2020-03-01,FOXNEWS,164,covid
2020-03-02,BBCNEWS,89,covid
2020-03-02,FOXNEWS,117,covid
2020-03-02,KPIX,2,covid
2020-03-02,KNTV,16,covid
2020-03-02,CNN,44,covid
2020-03-02,MSNBC,129,covid
2020-03-02,KGO,114,covid
2020-03-03,KPIX,16,covid
2020-03-03,MSNBC,66,covid
2020-03-03,KNTV,3,covid
2020-03-03,BBCNEWS,1277,covid
2020-03-03,FOXNEWS,161,covid
2020-03-03,KGO,44,covid
2020-03-04,BBCNEWS,586,covid
2020-03-04,MSNBC,1425,covid
2020-03-04,FOXNEWS,129,covid
2020-03-04,KGO,42,covid
2020-03-05,CNN,28,covid
2020-03-05,BBCNEWS,691,covid
2020-03-05,KGO,43,covid
2020-03-05,MSNBC,269,covid
2020-03-06,KNTV,6,covid
2020-03-06,MSNBC,227,covid
2020-03-06,CNN,140,covid
2020-03-06,KPIX,20,covid
2020-03-06,KGO,74,covid
2020-03-06,FOXNEWS,84,covid
2020-03-06,BBCNEWS,279,covid
2020-03-07,KGO,3,covid
2020-03-07,MSNBC,5341,covid
2020-03-07,FOXNEWS,574,covid
2020-03-07,CNN,344,covid
2020-03-07,BBCNEWS,262,covid
2020-03-07,KNTV,20,covid
2020-03-08,KNTV,10,covid
2020-03-08,MSNBC,2958,covid
2020-03-08,FOXNEWS,171,covid
2020-03-08,KGO,67,covid
2020-03-08,BBCNEWS,202,covid
2020-03-08,CNN,104,covid
2020-03-09,BBCNEWS,1858,covid
2020-03-09,CNN,87,covid
2020-03-09,KGO,153,covid
2020-03-09,MSNBC,454,covid
2020-03-09,FOXNEWS,2878,covid
2020-03-10,FOXNEWS,4744,covid
2020-03-10,KGO,59,covid
2020-03-10,CNN,197,covid
2020-03-10,KNTV,6,covid
2020-03-10,BBCNEWS,2709,covid
2020-03-10,MSNBC,818,covid
2020-03-11,KGO,72,covid
2020-03-11,KPIX,4,covid
2020-03-11,KNTV,9,covid
2020-03-11,BBCNEWS,1187,covid
2020-03-11,FOXNEWS,5008,covid
2020-03-11,CNN,8,covid
2020-03-11,MSNBC,2161,covid
2020-03-12,KGO,42,covid
2020-03-12,BBCNEWS,1018,covid
2020-03-12,FOXNEWS,6225,covid
2020-03-12,KNTV,18,covid
2020-03-12,MSNBC,2411,covid
2020-03-12,CNN,169,covid
2020-03-12,KPIX,9,covid
2020-03-13,CNN,324,covid
2020-03-13,BBCNEWS,2017,covid
2020-03-13,KNTV,10,covid
2020-03-13,KGO,58,covid
2020-03-13,FOXNEWS,9806,covid
2020-03-13,MSNBC,1542,covid
2020-03-13,KPIX,32,covid
2020-03-14,KNTV,38,covid
2020-03-14,CNN,621,covid
2020-03-14,MSNBC,2716,covid
2020-03-14,KPIX,17,covid
2020-03-14,FOXNEWS,6862,covid
2020-03-14,BBCNEWS,452,covid
2020-03-15,CNN,379,covid
2020-03-15,FOXNEWS,6060,covid
2020-03-15,BBCNEWS,337,covid
2020-03-15,KNTV,90,covid
2020-03-15,KPIX,12,covid
2020-03-15,MSNBC,3467,covid
2020-03-15,KGO,61,covid
2020-03-16,CNN,372,covid
2020-03-16,KPIX,2,covid
2020-03-16,MSNBC,2228,covid
2020-03-16,KNTV,11,covid
2020-03-16,BBCNEWS,3919,covid
2020-03-16,FOXNEWS,7902,covid
2020-03-16,KGO,116,covid
2020-03-17,CNN,571,covid
2020-03-17,BBCNEWS,3224,covid
2020-03-17,KGO,87,covid
2020-03-17,FOXNEWS,11712,covid
2020-03-17,KNTV,8,covid
2020-03-17,MSNBC,2020,covid
2020-03-17,KPIX,15,covid
2020-03-18,BBCNEWS,955,covid
2020-03-18,KPIX,19,covid
2020-03-18,MSNBC,1629,covid
2020-03-18,KNTV,36,covid
2020-03-18,KGO,70,covid
2020-03-18,FOXNEWS,8138,covid
2020-03-18,CNN,459,covid
2020-03-19,BBCNEWS,2757,covid
2020-03-19,KPIX,8,covid
2020-03-19,CNN,1588,covid
2020-03-19,KNTV,19,covid
2020-03-19,MSNBC,2567,covid
2020-03-19,KGO,34,covid
2020-03-19,FOXNEWS,12379,covid
2020-03-20,KNTV,42,covid
2020-03-20,BBCNEWS,688,covid
2020-03-20,KGO,38,covid
2020-03-20,MSNBC,2921,covid
2020-03-20,FOXNEWS,12872,covid
2020-03-20,CNN,945,covid
2020-03-21,CNN,1562,covid
2020-03-21,KNTV,21,covid
2020-03-21,KPIX,8,covid
2020-03-21,FOXNEWS,11583,covid
2020-03-21,BBCNEWS,575,covid
2020-03-21,MSNBC,2444,covid
2020-03-22,KNTV,23,covid
2020-03-22,FOXNEWS,10486,covid
2020-03-22,MSNBC,3898,covid
2020-03-22,BBCNEWS,649,covid
2020-03-22,KGO,29,covid
2020-03-22,CNN,1971,covid
2020-03-23,MSNBC,3142,covid
2020-03-23,BBCNEWS,3287,covid
2020-03-23,CNN,1468,covid
2020-03-23,FOXNEWS,8229,covid
2020-03-23,KNTV,59,covid
2020-03-23,KGO,105,covid
2020-03-24,FOXNEWS,11272,covid
2020-03-24,MSNBC,3049,covid
2020-03-24,KPIX,81,covid
2020-03-24,BBCNEWS,14923,covid
2020-03-24,CNN,370,covid
2020-03-24,KNTV,13,covid
2020-03-24,KGO,50,covid
2020-03-25,KGO,67,covid
2020-03-25,KNTV,24,covid
2020-03-25,BBCNEWS,9805,covid
2020-03-25,CNN,1421,covid
2020-03-25,MSNBC,2306,covid
2020-03-25,FOXNEWS,11291,covid
2020-03-26,KPIX,12,covid
2020-03-26,MSNBC,2602,covid
2020-03-26,CNN,1429,covid
2020-03-26,KGO,46,covid
2020-03-26,FOXNEWS,11853,covid
2020-03-26,BBCNEWS,2788,covid
2020-03-26,KNTV,18,covid
2020-03-27,FOXNEWS,15096,covid
2020-03-27,KGO,197,covid
2020-03-27,MSNBC,2705,covid
2020-03-27,CNN,7250,covid
2020-03-27,KNTV,29,covid
2020-03-27,BBCNEWS,8632,covid
2020-03-28,BBCNEWS,11878,covid
2020-03-28,FOXNEWS,10456,covid
2020-03-28,MSNBC,4678,covid
2020-03-28,CNN,2686,covid
2020-03-28,KPIX,48,covid
2020-03-28,KNTV,30,covid
2020-03-29,CNN,3016,covid
2020-03-29,KPIX,6,covid
2020-03-29,KNTV,65,covid
2020-03-29,FOXNEWS,8478,covid
2020-03-29,MSNBC,4432,covid
2020-03-29,KGO,40,covid
2020-03-29,BBCNEWS,9721,covid
2020-03-30,FOXNEWS,8928,covid
2020-03-30,MSNBC,3535,covid
2020-03-30,KNTV,352,covid
2020-03-30,CNN,2522,covid
2020-03-30,KGO,133,covid
2020-03-30,KPIX,6,covid
2020-03-30,BBCNEWS,1928,covid
2020-03-31,FOXNEWS,14162,covid
2020-03-31,KPIX,70,covid
2020-03-31,MSNBC,6067,covid
2020-03-31,BBCNEWS,967,covid
2020-03-31,KNTV,118,covid
2020-03-31,CNN,1653,covid
2020-03-31,KGO,35,covid
2020-04-01,CNN,1941,covid
2020-04-01,KGO,61,covid
2020-04-01,KPIX,25,covid
2020-04-01,FOXNEWS,14832,covid
2020-04-01,BBCNEWS,12215,covid
2020-04-01,KNTV,39,covid
2020-04-01,MSNBC,6505,covid
2020-04-02,MSNBC,4729,covid
2020-04-02,KGO,33,covid
2020-04-02,KNTV,19,covid
2020-04-02,KPIX,53,covid
2020-04-02,FOXNEWS,18799,covid
2020-04-02,BBCNEWS,5910,covid
2020-04-02,CNN,1891,covid
2020-04-03,BBCNEWS,12474,covid
2020-04-03,KNTV,119,covid
2020-04-03,CNN,4531,covid
2020-04-03,KPIX,38,covid
2020-04-03,MSNBC,3191,covid
2020-04-03,KGO,55,covid
2020-04-03,FOXNEWS,6845,covid
2020-04-04,CNN,3716,covid
2020-04-04,KNTV,89,covid
2020-04-04,KPIX,57,covid
2020-04-04,MSNBC,6997,covid
2020-04-04,BBCNEWS,12289,covid
2020-04-04,FOXNEWS,8631,covid
2020-04-05,MSNBC,6618,covid
2020-04-05,CNN,5086,covid
2020-04-05,KPIX,20,covid
2020-04-05,KNTV,37,covid
2020-04-05,BBCNEWS,5471,covid
2020-04-05,FOXNEWS,11782,covid
2020-04-05,KGO,87,covid
2020-04-06,MSNBC,2720,covid
2020-04-06,KPIX,36,covid
2020-04-06,BBCNEWS,1550,covid
2020-04-06,CNN,2542,covid
2020-04-06,FOXNEWS,17030,covid
2020-04-06,KGO,189,covid
2020-04-06,KNTV,16,covid
2020-04-07,KGO,81,covid
2020-04-07,CNN,2560,covid
2020-04-07,FOXNEWS,12751,covid
2020-04-07,KPIX,48,covid
2020-04-07,MSNBC,6034,covid
2020-04-07,BBCNEWS,4503,covid
2020-04-07,KNTV,26,covid
2020-04-08,KGO,58,covid
2020-04-08,BBCNEWS,7851,covid
2020-04-08,FOXNEWS,14392,covid
2020-04-08,KPIX,46,covid
2020-04-08,CNN,2151,covid
2020-04-08,KNTV,43,covid
2020-04-08,MSNBC,6032,covid
2020-04-09,KGO,39,covid
2020-04-09,KPIX,48,covid
2020-04-09,MSNBC,6183,covid
2020-04-09,BBCNEWS,7915,covid
2020-04-09,FOXNEWS,13475,covid
2020-04-09,CNN,2212,covid
2020-04-09,KNTV,95,covid
2020-04-10,BBCNEWS,5776,covid
2020-04-10,CNN,5224,covid
2020-04-10,FOXNEWS,8626,covid
2020-04-10,MSNBC,5846,covid
2020-04-10,KGO,66,covid
2020-04-10,KPIX,62,covid
2020-04-10,KNTV,23,covid
2020-04-11,KNTV,98,covid
2020-04-11,FOXNEWS,9391,covid
2020-04-11,CNN,4268,covid
2020-04-11,MSNBC,9699,covid
2020-04-11,KPIX,45,covid
2020-04-11,BBCNEWS,5085,covid
2020-04-12,MSNBC,11213,covid
2020-04-12,KGO,75,covid
