f0_,station,f1_,f2_
2020-07-09,FOXNEWS,4,covid rule
2020-07-29,BBCNEWS,31,covid rule
2020-07-30,BBCNEWS,9,covid rule
2020-08-02,CNN,207,covid rule
2020-08-06,FOXNEWS,62,covid rule
2020-08-11,CNN,343,covid rule
2020-08-15,CNN,38,covid rule
2020-09-01,MSNBC,6,covid rule
2020-09-02,FOXNEWS,294,covid rule
2020-09-02,CNN,102,covid rule
2020-09-03,FOXNEWS,4,covid rule
2020-09-05,FOXNEWS,80,covid rule
2020-09-06,FOXNEWS,41,covid rule
2020-09-07,BBCNEWS,28,covid rule
2020-09-12,BBCNEWS,54,covid rule
2020-09-13,BBCNEWS,33,covid rule
2020-09-14,CNN,20,covid rule
2020-09-14,MSNBC,16,covid rule
2020-09-17,BBCNEWS,1973,covid rule
2020-09-18,FOXNEWS,2,covid rule
2020-09-19,BBCNEWS,9,covid rule
2020-09-20,BBCNEWS,1485,covid rule
2020-09-22,BBCNEWS,1,covid rule
2020-09-23,BBCNEWS,7,covid rule
2020-09-26,FOXNEWS,21,covid rule
2020-09-27,FOXNEWS,54,covid rule
2020-09-29,BBCNEWS,1993,covid rule
2020-09-30,CNN,24,covid rule
2020-09-30,BBCNEWS,1007,covid rule
2020-10-01,BBCNEWS,4695,covid rule
2020-10-02,BBCNEWS,5170,covid rule
2020-10-06,FOXNEWS,7,covid rule
2020-10-06,CNN,41,covid rule
2020-10-07,BBCNEWS,114,covid rule
2020-10-07,MSNBC,139,covid rule
2020-10-08,MSNBC,304,covid rule
2020-10-08,BBCNEWS,103,covid rule
2020-10-08,CNN,80,covid rule
2020-10-09,BBCNEWS,4714,covid rule
2020-10-10,BBCNEWS,1658,covid rule
2020-10-11,BBCNEWS,2031,covid rule
2020-10-12,MSNBC,204,covid rule
2020-10-12,BBCNEWS,870,covid rule
2020-10-15,BBCNEWS,692,covid rule
2020-10-15,MSNBC,16,covid rule
2020-10-17,CNN,217,covid rule
2020-10-19,BBCNEWS,28,covid rule
2020-10-23,BBCNEWS,95,covid rule
2020-10-23,CNN,20,covid rule
2020-10-24,CNN,6,covid rule
2020-10-25,CNN,6,covid rule
2020-10-26,CNN,2,covid rule
2020-10-28,BBCNEWS,31,covid rule
2020-10-31,FOXNEWS,21,covid rule
2020-11-09,BBCNEWS,486,covid rule
2020-11-11,FOXNEWS,109,covid rule
2020-11-14,FOXNEWS,99,covid rule
2020-11-16,FOXNEWS,498,covid rule
2020-11-17,FOXNEWS,43,covid rule
2020-11-18,FOXNEWS,339,covid rule
2020-11-18,BBCNEWS,61,covid rule
2020-11-18,CNN,6,covid rule
2020-11-19,FOXNEWS,427,covid rule
2020-11-21,FOXNEWS,13,covid rule
2020-11-22,BBCNEWS,27,covid rule
2020-11-22,FOXNEWS,491,covid rule
2020-11-23,FOXNEWS,12,covid rule
2020-11-24,BBCNEWS,277,covid rule
2020-11-24,FOXNEWS,86,covid rule
2020-11-25,FOXNEWS,106,covid rule
2020-11-25,BBCNEWS,209,covid rule
2020-11-26,CNN,51,covid rule
2020-11-26,FOXNEWS,302,covid rule
2020-11-27,BBCNEWS,10,covid rule
2020-11-30,BBCNEWS,15,covid rule
2020-12-01,FOXNEWS,297,covid rule
2020-12-02,FOXNEWS,985,covid rule
2020-12-03,BBCNEWS,15,covid rule
2020-12-03,FOXNEWS,472,covid rule
2020-12-04,FOXNEWS,238,covid rule
2020-12-04,MSNBC,9,covid rule
2020-12-05,FOXNEWS,86,covid rule
2020-12-06,BBCNEWS,34,covid rule
2020-12-07,BBCNEWS,31,covid rule
2020-12-07,FOXNEWS,676,covid rule
2020-12-08,FOXNEWS,482,covid rule
2020-12-08,MSNBC,217,covid rule
2020-12-09,FOXNEWS,156,covid rule
2020-12-10,MSNBC,188,covid rule
2020-12-11,BBCNEWS,14,covid rule
2020-12-12,FOXNEWS,200,covid rule
2020-12-13,BBCNEWS,10,covid rule
2020-12-14,BBCNEWS,3,covid rule
2020-12-15,BBCNEWS,127,covid rule
2020-12-16,FOXNEWS,609,covid rule
2020-12-16,BBCNEWS,647,covid rule
2020-12-17,CNN,147,covid rule
2020-12-18,FOXNEWS,13,covid rule
2020-12-18,BBCNEWS,6,covid rule
2020-12-19,CNN,31,covid rule
2020-12-20,CNN,390,covid rule
2020-12-21,BBCNEWS,169,covid rule
2020-12-21,FOXNEWS,22,covid rule
2020-12-22,FOXNEWS,172,covid rule
2020-12-23,FOXNEWS,452,covid rule
2020-12-24,FOXNEWS,7,covid rule
2020-12-25,FOXNEWS,22,covid rule
2020-12-26,BBCNEWS,69,covid rule
2020-12-30,FOXNEWS,140,covid rule
2020-12-31,FOXNEWS,25,covid rule
2021-01-01,FOXNEWS,22,covid rule
2021-01-01,BBCNEWS,51,covid rule
2021-01-02,FOXNEWS,10,covid rule
2021-01-03,BBCNEWS,26,covid rule
2021-01-04,BBCNEWS,12,covid rule
2021-01-05,FOXNEWS,108,covid rule
2021-01-08,BBCNEWS,121,covid rule
2021-01-10,BBCNEWS,47,covid rule
2021-01-12,BBCNEWS,23,covid rule
2021-01-15,FOXNEWS,16,covid rule
2021-01-17,BBCNEWS,28,covid rule
2021-01-21,BBCNEWS,162,covid rule
2021-01-22,MSNBC,63,covid rule
2021-01-22,FOXNEWS,28,covid rule
2021-01-25,BBCNEWS,82,covid rule
2021-01-26,FOXNEWS,12,covid rule
2021-01-31,CNN,176,covid rule
2021-02-09,BBCNEWS,1304,covid rule
2021-02-10,FOXNEWS,58,covid rule
2021-02-27,CNN,17,covid rule
2021-03-02,FOXNEWS,6,covid rule
2021-03-03,MSNBC,24,covid rule
2021-03-04,KGO,26,covid rule
2021-03-04,FOXNEWS,43,covid rule
2021-03-04,MSNBC,81,covid rule
2021-03-05,FOXNEWS,176,covid rule
2021-03-06,CNN,368,covid rule
2021-03-06,BBCNEWS,129,covid rule
2021-03-07,CNN,541,covid rule
2021-03-10,KGO,56,covid rule
2021-03-12,BBCNEWS,14,covid rule
2021-03-13,FOXNEWS,26,covid rule
2021-03-14,MSNBC,9,covid rule
2021-03-15,FOXNEWS,181,covid rule
2021-03-16,MSNBC,26,covid rule
2021-03-16,FOXNEWS,403,covid rule
2021-03-16,CNN,36,covid rule
2021-03-18,CNN,376,covid rule
2021-03-19,FOXNEWS,174,covid rule
2021-03-20,FOXNEWS,38,covid rule
2021-03-26,BBCNEWS,48,covid rule
2021-03-27,BBCNEWS,87,covid rule
2021-04-03,FOXNEWS,29,covid rule
2021-04-04,FOXNEWS,84,covid rule
2021-04-05,FOXNEWS,15,covid rule
2021-04-10,CNN,20,covid rule
2021-04-11,CNN,148,covid rule
2021-04-16,FOXNEWS,91,covid rule
2021-04-18,CNN,72,covid rule
2021-04-20,CNN,19,covid rule
2021-04-23,FOXNEWS,53,covid rule
2021-04-27,MSNBC,9,covid rule
2021-05-04,MSNBC,7,covid rule
2021-05-07,CNN,10,covid rule
2021-05-08,FOXNEWS,76,covid rule
2021-05-10,FOXNEWS,52,covid rule
2021-05-11,FOXNEWS,49,covid rule
2021-05-13,FOXNEWS,29,covid rule
2021-05-14,KGO,16,covid rule
2021-05-15,MSNBC,55,covid rule
2021-05-15,BBCNEWS,199,covid rule
2021-05-16,BBCNEWS,50,covid rule
2021-05-19,FOXNEWS,20,covid rule
2021-05-23,CNN,10,covid rule
2021-05-24,FOXNEWS,339,covid rule
2021-05-25,FOXNEWS,131,covid rule
2021-05-26,FOXNEWS,67,covid rule
2021-05-26,KPIX,91,covid rule
2021-05-26,MSNBC,26,covid rule
2021-06-01,CNN,9,covid rule
2021-06-03,FOXNEWS,90,covid rule
2021-06-10,KNTV,85,covid rule
2021-06-14,CNN,352,covid rule
2021-06-15,CNN,931,covid rule
2021-06-16,FOXNEWS,14,covid rule
2021-06-16,MSNBC,3,covid rule
2021-06-17,BBCNEWS,10,covid rule
2021-06-19,FOXNEWS,26,covid rule
2021-06-20,MSNBC,94,covid rule
2021-06-21,CNN,71,covid rule
2021-06-22,FOXNEWS,18,covid rule
2021-06-23,BBCNEWS,1024,covid rule
2021-06-23,CNN,33,covid rule
2021-06-25,BBCNEWS,132,covid rule
2021-06-26,BBCNEWS,5695,covid rule
2021-06-27,BBCNEWS,6545,covid rule
2021-06-28,CNN,322,covid rule
2021-06-28,BBCNEWS,1141,covid rule
2021-06-29,FOXNEWS,8,covid rule
2021-06-30,BBCNEWS,54,covid rule
2021-07-02,FOXNEWS,95,covid rule
2021-07-04,BBCNEWS,72,covid rule
2021-07-04,CNN,21,covid rule
2021-07-05,MSNBC,13,covid rule
2021-07-05,BBCNEWS,178,covid rule
2021-07-06,BBCNEWS,6225,covid rule
2021-07-12,BBCNEWS,22,covid rule
2021-07-14,BBCNEWS,2048,covid rule
2021-07-15,BBCNEWS,1235,covid rule
2021-07-17,FOXNEWS,22,covid rule
2021-07-18,FOXNEWS,33,covid rule
2021-07-19,CNN,196,covid rule
2021-07-19,BBCNEWS,120,covid rule
2021-07-20,BBCNEWS,21,covid rule
2021-07-20,CNN,39,covid rule
2021-07-20,MSNBC,24,covid rule
2021-07-21,BBCNEWS,232,covid rule
2021-07-23,BBCNEWS,53,covid rule
2021-07-23,CNN,99,covid rule
2021-07-23,MSNBC,21,covid rule
2021-07-24,MSNBC,23,covid rule
2021-07-24,FOXNEWS,186,covid rule
2021-07-24,CNN,258,covid rule
2021-07-25,CNN,109,covid rule
2021-07-26,FOXNEWS,43,covid rule
2021-07-26,CNN,61,covid rule
2021-07-28,FOXNEWS,261,covid rule
2021-07-29,FOXNEWS,124,covid rule
2021-07-29,MSNBC,12,covid rule
2021-07-30,CNN,629,covid rule
2021-07-31,MSNBC,22,covid rule
2021-08-01,CNN,309,covid rule
2021-08-02,FOXNEWS,58,covid rule
2021-08-02,CNN,48,covid rule
2021-08-03,CNN,128,covid rule
2021-08-03,BBCNEWS,16,covid rule
2021-08-04,CNN,201,covid rule
2021-08-04,BBCNEWS,25,covid rule
2021-08-05,FOXNEWS,32,covid rule
2021-08-06,BBCNEWS,12,covid rule
2021-08-06,FOXNEWS,282,covid rule
2021-08-07,MSNBC,15,covid rule
2021-08-07,FOXNEWS,43,covid rule
2021-08-07,BBCNEWS,28,covid rule
2021-08-08,KNTV,12,covid rule
2021-08-08,MSNBC,55,covid rule
2021-08-08,CNN,168,covid rule
2021-08-08,FOXNEWS,137,covid rule
2021-08-08,BBCNEWS,1,covid rule
2021-08-10,FOXNEWS,112,covid rule
2021-08-12,FOXNEWS,529,covid rule
2021-08-14,CNN,163,covid rule
2021-08-15,FOXNEWS,302,covid rule
2021-08-19,CNN,56,covid rule
2021-08-20,MSNBC,131,covid rule
2021-08-21,MSNBC,14,covid rule
2021-08-23,BBCNEWS,39,covid rule
2021-09-01,FOXNEWS,171,covid rule
2021-09-04,MSNBC,10,covid rule
2021-09-06,CNN,33,covid rule
2021-09-09,KNTV,46,covid rule
2021-09-09,FOXNEWS,116,covid rule
2021-09-10,MSNBC,85,covid rule
