f0_,station,f1_,f2_
2019-12-02,KGO,6,death rate
2019-12-03,KPIX,5,death rate
2019-12-03,KNTV,88,death rate
2019-12-04,KGO,5,death rate
2019-12-04,KPIX,1,death rate
2019-12-05,KGO,87,death rate
2019-12-05,KPIX,1,death rate
2019-12-06,KGO,66,death rate
2019-12-06,KPIX,16,death rate
2019-12-07,KPIX,28,death rate
2019-12-07,KNTV,21,death rate
2019-12-08,KPIX,17,death rate
2019-12-08,KNTV,1,death rate
2019-12-09,KGO,3,death rate
2019-12-09,KPIX,29,death rate
2019-12-10,KPIX,5,death rate
2019-12-10,KGO,101,death rate
2019-12-11,KGO,53,death rate
2019-12-11,KNTV,94,death rate
2019-12-11,KPIX,92,death rate
2019-12-12,KPIX,171,death rate
2019-12-12,KGO,68,death rate
2019-12-13,KNTV,69,death rate
2019-12-13,KGO,11,death rate
2019-12-13,KPIX,24,death rate
2019-12-14,KPIX,8,death rate
2019-12-14,KNTV,86,death rate
2019-12-15,KPIX,5,death rate
2019-12-16,KGO,5,death rate
2019-12-16,KPIX,4,death rate
2019-12-17,KPIX,5,death rate
2019-12-18,KPIX,98,death rate
2019-12-20,KGO,41,death rate
2019-12-21,KNTV,2,death rate
2019-12-21,KPIX,67,death rate
2019-12-24,KGO,3,death rate
2019-12-24,KPIX,73,death rate
2019-12-25,KPIX,65,death rate
2019-12-26,KNTV,86,death rate
2019-12-27,KNTV,5,death rate
2019-12-28,KPIX,4,death rate
2019-12-28,KNTV,15,death rate
2019-12-29,KNTV,103,death rate
2019-12-30,KPIX,29,death rate
2019-12-31,KGO,3,death rate
2019-12-31,KPIX,4,death rate
2019-12-31,CNN,775,death rate
2019-12-31,MSNBC,1123,death rate
2019-12-31,FOXNEWS,428,death rate
2019-12-31,BBCNEWS,1355,death rate
2020-01-01,BBCNEWS,932,death rate
2020-01-01,KGO,8,death rate
2020-01-01,CNN,12,death rate
2020-01-01,MSNBC,127,death rate
2020-01-01,KPIX,16,death rate
2020-01-01,FOXNEWS,553,death rate
2020-01-02,KNTV,38,death rate
2020-01-02,FOXNEWS,1151,death rate
2020-01-02,KPIX,18,death rate
2020-01-02,KGO,3,death rate
2020-01-02,MSNBC,188,death rate
2020-01-02,BBCNEWS,590,death rate
2020-01-02,CNN,166,death rate
2020-01-03,CNN,2262,death rate
2020-01-03,FOXNEWS,2913,death rate
2020-01-03,MSNBC,2394,death rate
2020-01-03,KGO,5,death rate
2020-01-03,BBCNEWS,2206,death rate
2020-01-04,BBCNEWS,2608,death rate
2020-01-04,MSNBC,655,death rate
2020-01-04,CNN,2133,death rate
2020-01-04,KPIX,25,death rate
2020-01-04,FOXNEWS,4049,death rate
2020-01-05,CNN,1293,death rate
2020-01-05,FOXNEWS,975,death rate
2020-01-05,BBCNEWS,2153,death rate
2020-01-05,MSNBC,1232,death rate
2020-01-06,BBCNEWS,521,death rate
2020-01-06,KPIX,3,death rate
2020-01-06,CNN,2206,death rate
2020-01-06,FOXNEWS,2145,death rate
2020-01-06,MSNBC,581,death rate
2020-01-07,KNTV,107,death rate
2020-01-07,BBCNEWS,225,death rate
2020-01-07,KGO,5,death rate
2020-01-07,MSNBC,1312,death rate
2020-01-07,CNN,1025,death rate
2020-01-07,FOXNEWS,1822,death rate
2020-01-08,MSNBC,28,death rate
2020-01-08,CNN,2217,death rate
2020-01-08,FOXNEWS,231,death rate
2020-01-08,BBCNEWS,77,death rate
2020-01-09,FOXNEWS,317,death rate
2020-01-09,BBCNEWS,977,death rate
2020-01-09,MSNBC,452,death rate
2020-01-09,KNTV,147,death rate
2020-01-09,KGO,14,death rate
2020-01-09,KPIX,17,death rate
2020-01-09,CNN,960,death rate
2020-01-10,MSNBC,129,death rate
2020-01-10,BBCNEWS,774,death rate
2020-01-10,KPIX,1,death rate
2020-01-10,FOXNEWS,1276,death rate
2020-01-10,CNN,1246,death rate
2020-01-10,KGO,5,death rate
2020-01-11,FOXNEWS,381,death rate
2020-01-11,KNTV,91,death rate
2020-01-11,KPIX,15,death rate
2020-01-11,BBCNEWS,97,death rate
2020-01-11,MSNBC,290,death rate
2020-01-11,CNN,237,death rate
2020-01-12,FOXNEWS,543,death rate
2020-01-12,BBCNEWS,952,death rate
2020-01-12,CNN,658,death rate
2020-01-12,MSNBC,101,death rate
2020-01-13,MSNBC,471,death rate
2020-01-13,CNN,900,death rate
2020-01-13,BBCNEWS,1168,death rate
2020-01-13,FOXNEWS,287,death rate
2020-01-13,KPIX,8,death rate
2020-01-14,KPIX,7,death rate
2020-01-14,BBCNEWS,367,death rate
2020-01-14,CNN,160,death rate
2020-01-14,MSNBC,63,death rate
2020-01-14,FOXNEWS,288,death rate
2020-01-14,KNTV,4,death rate
2020-01-15,FOXNEWS,247,death rate
2020-01-15,MSNBC,38,death rate
2020-01-15,CNN,71,death rate
2020-01-15,BBCNEWS,98,death rate
2020-01-16,FOXNEWS,48,death rate
2020-01-16,CNN,83,death rate
2020-01-16,KGO,31,death rate
2020-01-16,BBCNEWS,510,death rate
2020-01-16,MSNBC,44,death rate
2020-01-17,MSNBC,139,death rate
2020-01-17,CNN,125,death rate
2020-01-17,BBCNEWS,838,death rate
2020-01-17,FOXNEWS,75,death rate
2020-01-18,FOXNEWS,317,death rate
2020-01-18,KNTV,9,death rate
2020-01-18,BBCNEWS,17,death rate
2020-01-18,MSNBC,90,death rate
2020-01-18,CNN,715,death rate
2020-01-18,KPIX,59,death rate
2020-01-19,CNN,19,death rate
2020-01-19,MSNBC,105,death rate
2020-01-19,BBCNEWS,18,death rate
2020-01-19,FOXNEWS,360,death rate
2020-01-19,KPIX,3,death rate
2020-01-20,KGO,2,death rate
2020-01-20,CNN,44,death rate
2020-01-20,KNTV,8,death rate
2020-01-20,MSNBC,90,death rate
2020-01-20,FOXNEWS,307,death rate
2020-01-20,BBCNEWS,67,death rate
2020-01-21,BBCNEWS,331,death rate
2020-01-21,CNN,149,death rate
2020-01-21,FOXNEWS,20,death rate
2020-01-21,MSNBC,32,death rate
2020-01-22,KNTV,4,death rate
2020-01-22,CNN,159,death rate
2020-01-22,MSNBC,28,death rate
2020-01-22,BBCNEWS,680,death rate
2020-01-22,KPIX,3,death rate
2020-01-22,FOXNEWS,197,death rate
2020-01-23,KGO,10,death rate
2020-01-23,BBCNEWS,4602,death rate
2020-01-23,KNTV,2,death rate
2020-01-23,CNN,318,death rate
2020-01-23,MSNBC,15,death rate
2020-01-23,FOXNEWS,639,death rate
2020-01-23,KPIX,5,death rate
2020-01-24,FOXNEWS,171,death rate
2020-01-24,BBCNEWS,6397,death rate
2020-01-24,KPIX,24,death rate
2020-01-24,MSNBC,136,death rate
2020-01-24,CNN,492,death rate
2020-01-25,BBCNEWS,1005,death rate
2020-01-25,CNN,441,death rate
2020-01-25,KPIX,10,death rate
2020-01-25,MSNBC,522,death rate
2020-01-25,KNTV,3,death rate
2020-01-25,FOXNEWS,1379,death rate
2020-01-26,KPIX,4,death rate
2020-01-26,KGO,5,death rate
2020-01-26,FOXNEWS,1205,death rate
2020-01-26,MSNBC,2282,death rate
2020-01-26,BBCNEWS,2618,death rate
2020-01-26,CNN,503,death rate
2020-01-27,MSNBC,588,death rate
2020-01-27,FOXNEWS,849,death rate
2020-01-27,KGO,393,death rate
2020-01-27,CNN,2012,death rate
2020-01-27,BBCNEWS,6714,death rate
2020-01-27,KNTV,9,death rate
2020-01-28,FOXNEWS,715,death rate
2020-01-28,BBCNEWS,1562,death rate
2020-01-28,CNN,382,death rate
2020-01-28,KPIX,14,death rate
2020-01-28,KNTV,133,death rate
2020-01-28,MSNBC,126,death rate
2020-01-29,KPIX,3,death rate
2020-01-29,CNN,221,death rate
2020-01-29,MSNBC,58,death rate
2020-01-29,KNTV,1,death rate
2020-01-29,BBCNEWS,1882,death rate
2020-01-29,FOXNEWS,489,death rate
2020-01-30,KPIX,19,death rate
2020-01-30,KNTV,69,death rate
2020-01-30,MSNBC,150,death rate
2020-01-30,BBCNEWS,4683,death rate
2020-01-30,CNN,1089,death rate
2020-01-30,FOXNEWS,305,death rate
2020-01-31,FOXNEWS,296,death rate
2020-01-31,MSNBC,41,death rate
2020-01-31,KNTV,50,death rate
2020-01-31,KPIX,28,death rate
2020-01-31,BBCNEWS,443,death rate
2020-01-31,CNN,470,death rate
2020-01-31,KGO,2,death rate
2020-02-01,MSNBC,74,death rate
2020-02-01,FOXNEWS,1366,death rate
2020-02-01,BBCNEWS,771,death rate
2020-02-01,CNN,430,death rate
2020-02-02,CNN,1061,death rate
2020-02-02,KPIX,3,death rate
2020-02-02,MSNBC,210,death rate
2020-02-02,KNTV,6,death rate
2020-02-02,FOXNEWS,1113,death rate
2020-02-02,BBCNEWS,1969,death rate
2020-02-02,KGO,61,death rate
2020-02-03,FOXNEWS,625,death rate
2020-02-03,BBCNEWS,435,death rate
2020-02-03,KNTV,31,death rate
2020-02-03,MSNBC,10,death rate
2020-02-03,KGO,68,death rate
2020-02-03,CNN,2641,death rate
2020-02-04,KGO,2,death rate
2020-02-04,BBCNEWS,419,death rate
2020-02-04,MSNBC,103,death rate
2020-02-04,KPIX,8,death rate
2020-02-04,FOXNEWS,323,death rate
2020-02-04,CNN,74,death rate
2020-02-05,MSNBC,180,death rate
2020-02-05,KGO,2,death rate
2020-02-05,CNN,87,death rate
2020-02-05,FOXNEWS,242,death rate
2020-02-05,BBCNEWS,1829,death rate
2020-02-06,MSNBC,119,death rate
2020-02-06,FOXNEWS,1178,death rate
2020-02-06,CNN,657,death rate
2020-02-06,BBCNEWS,1878,death rate
2020-02-06,KGO,5,death rate
2020-02-07,MSNBC,314,death rate
2020-02-07,KPIX,17,death rate
2020-02-07,KGO,7,death rate
2020-02-07,CNN,995,death rate
2020-02-07,KNTV,94,death rate
2020-02-07,BBCNEWS,3924,death rate
2020-02-07,FOXNEWS,763,death rate
2020-02-08,KPIX,2,death rate
2020-02-08,KGO,8,death rate
2020-02-08,MSNBC,205,death rate
2020-02-08,BBCNEWS,441,death rate
2020-02-08,CNN,1826,death rate
2020-02-08,FOXNEWS,1536,death rate
2020-02-09,KGO,6,death rate
2020-02-09,BBCNEWS,722,death rate
2020-02-09,KPIX,15,death rate
2020-02-09,FOXNEWS,1704,death rate
2020-02-09,MSNBC,402,death rate
2020-02-09,KNTV,132,death rate
