f0_,station,f1_,f2_
2019-12-01,KNTV,7,delta
2019-12-02,KGO,13,delta
2019-12-02,KPIX,5,delta
2019-12-03,KGO,5,delta
2019-12-03,KPIX,6,delta
2019-12-03,KNTV,1,delta
2019-12-04,KNTV,5,delta
2019-12-09,KGO,1,delta
2019-12-12,KNTV,2,delta
2019-12-20,KNTV,1,delta
2019-12-22,KNTV,2,delta
2019-12-24,KNTV,27,delta
2019-12-27,KPIX,5,delta
2019-12-28,KNTV,1,delta
2019-12-29,KGO,1,delta
2019-12-31,MSNBC,2,delta
2019-12-31,FOXNEWS,9,delta
2020-01-01,CNN,3,delta
2020-01-01,MSNBC,2,delta
2020-01-01,FOXNEWS,2,delta
2020-01-02,FOXNEWS,3,delta
2020-01-02,MSNBC,1,delta
2020-01-03,MSNBC,1,delta
2020-01-03,FOXNEWS,1,delta
2020-01-04,MSNBC,1,delta
2020-01-04,FOXNEWS,623,delta
2020-01-05,FOXNEWS,24,delta
2020-01-06,FOXNEWS,3,delta
2020-01-06,MSNBC,2,delta
2020-01-07,MSNBC,4,delta
2020-01-07,FOXNEWS,5,delta
2020-01-08,CNN,2,delta
2020-01-08,FOXNEWS,64,delta
2020-01-10,MSNBC,1,delta
2020-01-10,KGO,13,delta
2020-01-11,KPIX,3,delta
2020-01-12,BBCNEWS,1,delta
2020-01-12,KGO,77,delta
2020-01-12,CNN,3,delta
2020-01-13,MSNBC,6,delta
2020-01-13,CNN,2,delta
2020-01-13,FOXNEWS,1,delta
2020-01-14,FOXNEWS,16,delta
2020-01-15,KPIX,55,delta
2020-01-15,CNN,278,delta
2020-01-15,FOXNEWS,400,delta
2020-01-15,KGO,13,delta
2020-01-15,BBCNEWS,173,delta
2020-01-16,KPIX,3,delta
2020-01-16,CNN,107,delta
2020-01-16,BBCNEWS,2,delta
2020-01-16,FOXNEWS,398,delta
2020-01-17,KGO,12,delta
2020-01-17,CNN,24,delta
2020-01-17,FOXNEWS,44,delta
2020-01-18,FOXNEWS,383,delta
2020-01-18,KNTV,40,delta
2020-01-18,MSNBC,75,delta
2020-01-18,BBCNEWS,682,delta
2020-01-18,CNN,313,delta
2020-01-18,KPIX,11,delta
2020-01-19,KGO,7,delta
2020-01-19,FOXNEWS,73,delta
2020-01-19,BBCNEWS,23,delta
2020-01-19,KPIX,3,delta
2020-01-20,KGO,25,delta
2020-01-20,MSNBC,43,delta
2020-01-21,FOXNEWS,31,delta
2020-01-21,MSNBC,2,delta
2020-01-22,KNTV,7,delta
2020-01-22,CNN,28,delta
2020-01-22,BBCNEWS,1,delta
2020-01-23,FOXNEWS,1,delta
2020-01-25,CNN,15,delta
2020-01-25,BBCNEWS,3,delta
2020-01-26,FOXNEWS,4,delta
2020-01-26,CNN,4,delta
2020-01-26,BBCNEWS,13,delta
2020-01-27,MSNBC,4,delta
2020-01-27,FOXNEWS,14,delta
2020-01-27,CNN,25,delta
2020-01-27,BBCNEWS,18,delta
2020-01-28,BBCNEWS,2,delta
2020-01-28,FOXNEWS,1,delta
2020-01-28,CNN,30,delta
2020-01-29,CNN,32,delta
2020-01-29,BBCNEWS,10,delta
2020-01-30,KPIX,8,delta
2020-01-30,FOXNEWS,12,delta
2020-01-30,BBCNEWS,13,delta
2020-01-30,CNN,12,delta
2020-01-31,FOXNEWS,15,delta
