f0_,station,f1_,f2_
2019-12-03,KPIX,1,lockdown
2019-12-04,KPIX,7,lockdown
2019-12-15,KPIX,8,lockdown
2019-12-19,KGO,31,lockdown
2019-12-31,CNN,200,lockdown
2019-12-31,MSNBC,194,lockdown
2020-01-03,CNN,209,lockdown
2020-01-03,FOXNEWS,20,lockdown
2020-01-04,FOXNEWS,141,lockdown
2020-01-10,FOXNEWS,50,lockdown
2020-01-13,FOXNEWS,13,lockdown
2020-01-14,FOXNEWS,46,lockdown
2020-01-16,MSNBC,170,lockdown
2020-01-18,BBCNEWS,35,lockdown
2020-01-19,BBCNEWS,24,lockdown
2020-01-20,BBCNEWS,2,lockdown
2020-01-22,FOXNEWS,12,lockdown
2020-01-23,KNTV,111,lockdown
2020-01-23,BBCNEWS,6731,lockdown
2020-01-23,CNN,1305,lockdown
2020-01-23,FOXNEWS,4,lockdown
2020-01-24,FOXNEWS,215,lockdown
2020-01-24,BBCNEWS,478,lockdown
2020-01-24,MSNBC,30,lockdown
2020-01-24,CNN,367,lockdown
2020-01-25,FOXNEWS,237,lockdown
2020-01-25,BBCNEWS,260,lockdown
2020-01-25,KPIX,9,lockdown
2020-01-25,CNN,18,lockdown
2020-01-26,FOXNEWS,192,lockdown
2020-01-26,MSNBC,26,lockdown
2020-01-26,BBCNEWS,84,lockdown
2020-01-26,KPIX,7,lockdown
2020-01-26,CNN,36,lockdown
2020-01-27,MSNBC,11,lockdown
2020-01-27,FOXNEWS,105,lockdown
2020-01-27,CNN,198,lockdown
2020-01-27,BBCNEWS,5,lockdown
2020-01-28,FOXNEWS,130,lockdown
2020-01-29,BBCNEWS,7,lockdown
2020-01-30,BBCNEWS,1,lockdown
2020-01-30,CNN,8,lockdown
2020-01-31,CNN,1,lockdown
2020-01-31,KGO,3,lockdown
2020-02-01,FOXNEWS,47,lockdown
2020-02-01,CNN,29,lockdown
2020-02-02,FOXNEWS,46,lockdown
2020-02-03,KGO,3,lockdown
2020-02-03,BBCNEWS,130,lockdown
2020-02-04,KGO,2,lockdown
2020-02-05,BBCNEWS,10,lockdown
2020-02-05,CNN,228,lockdown
2020-02-06,KGO,5,lockdown
2020-02-06,CNN,34,lockdown
2020-02-07,BBCNEWS,136,lockdown
2020-02-07,FOXNEWS,181,lockdown
2020-02-08,BBCNEWS,176,lockdown
2020-02-09,CNN,26,lockdown
2020-02-09,BBCNEWS,54,lockdown
2020-02-10,BBCNEWS,104,lockdown
2020-02-11,BBCNEWS,12,lockdown
2020-02-12,CNN,15,lockdown
2020-02-15,MSNBC,8,lockdown
2020-02-15,FOXNEWS,16,lockdown
2020-02-15,KNTV,14,lockdown
2020-02-17,FOXNEWS,3,lockdown
2020-02-17,KGO,17,lockdown
2020-02-18,MSNBC,7,lockdown
2020-02-18,CNN,12,lockdown
2020-02-20,CNN,259,lockdown
2020-02-21,BBCNEWS,21,lockdown
2020-02-22,CNN,111,lockdown
2020-02-22,FOXNEWS,52,lockdown
2020-02-23,FOXNEWS,38,lockdown
2020-02-23,BBCNEWS,2716,lockdown
2020-02-23,CNN,3,lockdown
2020-02-24,FOXNEWS,19,lockdown
2020-02-24,BBCNEWS,556,lockdown
2020-02-24,KGO,23,lockdown
2020-02-25,FOXNEWS,163,lockdown
2020-02-25,BBCNEWS,2240,lockdown
2020-02-25,KGO,2,lockdown
2020-02-26,CNN,223,lockdown
2020-02-26,MSNBC,17,lockdown
2020-02-26,BBCNEWS,526,lockdown
2020-02-27,KGO,2,lockdown
2020-02-27,MSNBC,36,lockdown
2020-02-27,FOXNEWS,80,lockdown
2020-02-27,BBCNEWS,892,lockdown
2020-02-28,BBCNEWS,317,lockdown
2020-02-28,FOXNEWS,22,lockdown
2020-02-28,KGO,2,lockdown
2020-02-29,FOXNEWS,43,lockdown
2020-02-29,CNN,14,lockdown
2020-03-01,BBCNEWS,8,lockdown
2020-03-02,BBCNEWS,11,lockdown
2020-03-02,KGO,2,lockdown
2020-03-03,KGO,2,lockdown
2020-03-06,KGO,2,lockdown
2020-03-07,MSNBC,13,lockdown
2020-03-08,CNN,2109,lockdown
2020-03-08,KNTV,16,lockdown
2020-03-08,MSNBC,276,lockdown
2020-03-08,FOXNEWS,417,lockdown
2020-03-08,BBCNEWS,1380,lockdown
2020-03-09,CNN,926,lockdown
2020-03-09,BBCNEWS,2258,lockdown
2020-03-09,KGO,20,lockdown
2020-03-09,FOXNEWS,160,lockdown
2020-03-09,MSNBC,719,lockdown
2020-03-09,KNTV,34,lockdown
2020-03-10,FOXNEWS,378,lockdown
2020-03-10,KGO,84,lockdown
2020-03-10,CNN,2968,lockdown
2020-03-10,MSNBC,730,lockdown
2020-03-10,BBCNEWS,4059,lockdown
2020-03-10,KNTV,112,lockdown
2020-03-10,KPIX,112,lockdown
2020-03-11,CNN,737,lockdown
2020-03-11,BBCNEWS,158,lockdown
2020-03-11,KGO,80,lockdown
2020-03-11,KNTV,91,lockdown
2020-03-11,FOXNEWS,142,lockdown
2020-03-11,KPIX,94,lockdown
2020-03-12,FOXNEWS,429,lockdown
2020-03-12,KGO,105,lockdown
2020-03-12,BBCNEWS,451,lockdown
2020-03-12,MSNBC,436,lockdown
2020-03-12,CNN,707,lockdown
2020-03-12,KPIX,59,lockdown
2020-03-13,CNN,1236,lockdown
2020-03-13,BBCNEWS,184,lockdown
2020-03-13,FOXNEWS,121,lockdown
2020-03-13,MSNBC,57,lockdown
2020-03-13,KGO,5,lockdown
2020-03-14,CNN,796,lockdown
2020-03-14,MSNBC,171,lockdown
