f0_,station,f1_,f2_
2020-01-17,BBCNEWS,4,quarantine
2020-01-18,KNTV,12,quarantine
2020-01-18,BBCNEWS,3,quarantine
2020-01-18,CNN,4,quarantine
2020-01-20,BBCNEWS,27,quarantine
2020-01-20,CNN,2,quarantine
2020-01-21,BBCNEWS,13,quarantine
2020-01-21,KNTV,6,quarantine
2020-01-22,FOXNEWS,25,quarantine
2020-01-22,BBCNEWS,17,quarantine
2020-01-23,KGO,17,quarantine
2020-01-23,KPIX,81,quarantine
2020-01-23,FOXNEWS,399,quarantine
2020-01-23,MSNBC,4,quarantine
2020-01-23,BBCNEWS,73,quarantine
2020-01-24,FOXNEWS,211,quarantine
2020-01-24,BBCNEWS,41,quarantine
2020-01-24,KNTV,82,quarantine
2020-01-25,FOXNEWS,74,quarantine
2020-01-26,KNTV,84,quarantine
2020-01-26,FOXNEWS,19,quarantine
2020-01-26,CNN,27,quarantine
2020-01-27,FOXNEWS,90,quarantine
2020-01-27,CNN,160,quarantine
2020-01-27,BBCNEWS,72,quarantine
2020-01-27,KNTV,24,quarantine
2020-01-28,KGO,20,quarantine
2020-01-28,BBCNEWS,10,quarantine
2020-01-28,FOXNEWS,130,quarantine
2020-01-29,KNTV,5,quarantine
2020-01-29,KPIX,6,quarantine
2020-01-29,FOXNEWS,69,quarantine
2020-01-29,BBCNEWS,6070,quarantine
2020-01-29,KGO,104,quarantine
2020-01-30,KGO,3,quarantine
2020-01-30,KNTV,154,quarantine
2020-01-30,CNN,163,quarantine
2020-01-30,BBCNEWS,1686,quarantine
2020-01-31,FOXNEWS,88,quarantine
2020-01-31,KNTV,55,quarantine
2020-01-31,KGO,71,quarantine
2020-01-31,BBCNEWS,757,quarantine
2020-02-01,MSNBC,317,quarantine
2020-02-01,KNTV,2,quarantine
2020-02-01,FOXNEWS,576,quarantine
2020-02-01,BBCNEWS,524,quarantine
2020-02-01,CNN,348,quarantine
2020-02-02,CNN,794,quarantine
2020-02-02,KPIX,58,quarantine
2020-02-02,KGO,9,quarantine
2020-02-02,MSNBC,79,quarantine
2020-02-02,KNTV,94,quarantine
2020-02-02,BBCNEWS,124,quarantine
2020-02-02,FOXNEWS,724,quarantine
2020-02-03,FOXNEWS,398,quarantine
2020-02-03,CNN,287,quarantine
2020-02-03,KGO,21,quarantine
2020-02-03,BBCNEWS,61,quarantine
2020-02-03,KNTV,65,quarantine
2020-02-03,MSNBC,2,quarantine
2020-02-04,KGO,4,quarantine
2020-02-04,BBCNEWS,683,quarantine
2020-02-04,FOXNEWS,165,quarantine
2020-02-05,KNTV,1,quarantine
2020-02-05,FOXNEWS,275,quarantine
2020-02-05,KGO,70,quarantine
2020-02-05,BBCNEWS,1004,quarantine
2020-02-05,CNN,562,quarantine
2020-02-06,KNTV,166,quarantine
2020-02-06,BBCNEWS,347,quarantine
2020-02-06,MSNBC,1,quarantine
2020-02-06,KGO,79,quarantine
2020-02-06,FOXNEWS,1042,quarantine
2020-02-06,CNN,2144,quarantine
2020-02-07,MSNBC,18,quarantine
2020-02-07,KNTV,29,quarantine
2020-02-07,FOXNEWS,1202,quarantine
2020-02-07,BBCNEWS,3755,quarantine
2020-02-07,KGO,12,quarantine
2020-02-07,CNN,2176,quarantine
2020-02-07,KPIX,6,quarantine
2020-02-08,BBCNEWS,2125,quarantine
2020-02-08,CNN,1038,quarantine
2020-02-08,MSNBC,175,quarantine
2020-02-08,FOXNEWS,981,quarantine
2020-02-09,KNTV,40,quarantine
2020-02-09,FOXNEWS,238,quarantine
2020-02-09,CNN,1269,quarantine
2020-02-09,BBCNEWS,208,quarantine
2020-02-09,MSNBC,236,quarantine
2020-02-09,KGO,2,quarantine
2020-02-10,BBCNEWS,335,quarantine
2020-02-10,FOXNEWS,394,quarantine
